import time: self [us] | cumulative | imported package
import time:      1899 |       1899 |                           colorama.ansi
import time:        74 |         74 |                             msvcrt
import time:      3785 |       3785 |                                 _ctypes
import time:      2596 |       2596 |                                 ctypes._endian
import time:      3454 |       9834 |                               ctypes
import time:      1532 |       1532 |                               ctypes.wintypes
import time:      1446 |      12810 |                             colorama.win32
import time:      1302 |      14186 |                           colorama.winterm
import time:      1659 |      17744 |                         colorama.ansitowin32
import time:      1369 |      19112 |                       colorama.initialise
import time:      2342 |      21453 |                     colorama
import time:       945 |        945 |                       dbt_common.ui
import time:      1032 |       1032 |                       dbt_common.events.interfaces
import time:      1060 |       3036 |                     dbt_common.events.format
import time:      1637 |       1637 |                             _decimal
import time:      1076 |       2713 |                           decimal
import time:      3059 |       3059 |                             _hashlib
import time:        97 |         97 |                             _blake2
import time:      1321 |       4476 |                           hashlib
import time:      1428 |       1428 |                             jinja2.bccache
import time:      1717 |       1717 |                                 markupsafe._speedups
import time:      2153 |       3870 |                               markupsafe
import time:      3567 |       3567 |                                 jinja2.utils
import time:      3966 |       7533 |                               jinja2.nodes
import time:      1288 |       1288 |                                 jinja2.exceptions
import time:       915 |        915 |                                   jinja2.visitor
import time:      1240 |       2155 |                                 jinja2.idtracking
import time:       906 |        906 |                                 jinja2.optimizer
import time:      2346 |       6693 |                               jinja2.compiler
import time:      2005 |       2005 |                                   jinja2.async_utils
import time:      2951 |       2951 |                                   jinja2.runtime
import time:      2202 |       7157 |                                 jinja2.filters
import time:      1104 |       1104 |                                 jinja2.tests
import time:      1013 |       9273 |                               jinja2.defaults
import time:      1721 |       1721 |                                 jinja2._identifier
import time:      2929 |       4650 |                               jinja2.lexer
import time:      1462 |       1462 |                               jinja2.parser
import time:      3026 |      36505 |                             jinja2.environment
import time:      1431 |       1431 |                             jinja2.loaders
import time:      1662 |      41025 |                           jinja2
import time:       579 |        579 |                           cdecimal
import time:      1140 |      49931 |                         dbt_common.utils.encoding
import time:      1037 |       1037 |                         dbt_common.utils.casting
import time:       822 |        822 |                               dbt_common.constants
import time:      1213 |       1213 |                                       pprint
import time:      3597 |       3597 |                                                 _wmi
import time:      1845 |       5441 |                                               platform
import time:      1460 |       6901 |                                             attr._compat
import time:      1506 |       1506 |                                               unicodedata
import time:      1630 |       1630 |                                               attr._config
import time:      1927 |       1927 |                                                 attr.exceptions
import time:      2579 |       4506 |                                               attr.setters
import time:     10558 |      18200 |                                             attr._make
import time:      2424 |      27524 |                                           attr.converters
import time:      2866 |       2866 |                                           attr.filters
import time:      6192 |       6192 |                                           attr.validators
import time:      1324 |       1324 |                                           attr._cmp
import time:      1129 |       1129 |                                           attr._funcs
import time:      1041 |       1041 |                                           attr._next_gen
import time:      1530 |       1530 |                                           attr._version_info
import time:      3048 |      44651 |                                         attr
import time:      1275 |       1275 |                                         attrs.converters
import time:      1055 |       1055 |                                         attrs.exceptions
import time:       914 |        914 |                                         attrs.filters
import time:       986 |        986 |                                         attrs.setters
import time:       885 |        885 |                                         attrs.validators
import time:      1867 |      51631 |                                       attrs
import time:      1488 |       1488 |                                               rpds.rpds
import time:      1480 |       2968 |                                             rpds
import time:      3278 |       3278 |                                             typing_extensions
import time:      1060 |       1060 |                                               referencing._attrs
import time:      4286 |       5346 |                                             referencing.exceptions
import time:      1526 |       1526 |                                             referencing.typing
import time:      6090 |      19206 |                                           referencing._core
import time:      1533 |      20738 |                                         referencing
import time:        63 |      20800 |                                       referencing.exceptions
import time:      2097 |       2097 |                                       jsonschema._utils
import time:      2012 |      77751 |                                     jsonschema.exceptions
import time:       967 |        967 |                                     fqdn
import time:      1930 |       1930 |                                         idna.idnadata
import time:      1847 |       1847 |                                         idna.intranges
import time:      2693 |       6469 |                                       idna.core
import time:      2188 |       2188 |                                       idna.package_data
import time:      2554 |      11210 |                                     idna
import time:      1615 |       1615 |                                     rfc3987
import time:       891 |        891 |                                     rfc3986_validator
import time:       771 |        771 |                                     rfc3987_syntax
import time:       836 |        836 |                                     rfc3339_validator
import time:       784 |        784 |                                     webcolors
import time:       734 |        734 |                                     jsonpointer
import time:       838 |        838 |                                     uri_template
import time:       739 |        739 |                                     isoduration
import time:      1998 |      99131 |                                   jsonschema._format
import time:      3152 |       3152 |                                   jsonschema._types
import time:      3442 |       3442 |                                       referencing.jsonschema
import time:      2056 |       2056 |                                       jsonschema_specifications._core
import time:      2513 |       2513 |                                           importlib.resources._itertools
import time:      2536 |       5048 |                                         importlib.resources.readers
import time:      1622 |       6670 |                                       importlib.readers
import time:     25839 |      38006 |                                     jsonschema_specifications
import time:      3429 |       3429 |                                       fractions
import time:      2216 |       5644 |                                     jsonschema._keywords
import time:      1983 |       1983 |                                     jsonschema._legacy_keywords
import time:      1318 |       1318 |                                       jsonschema.protocols
import time:      1520 |       2837 |                                     jsonschema._typing
import time:      7873 |      56341 |                                   jsonschema.validators
import time:      1491 |     160113 |                                 jsonschema
import time:      1607 |       1607 |                                     dateutil._version
import time:      1979 |       3585 |                                   dateutil
import time:      3493 |       3493 |                                     six
import time:      1033 |       1033 |                                       dateutil._common
import time:      1259 |       2292 |                                     dateutil.relativedelta
import time:       101 |        101 |                                         six.moves
import time:      1788 |       1788 |                                         dateutil.tz._common
import time:      2237 |       2237 |                                         dateutil.tz._factories
import time:      3577 |       3577 |                                         dateutil.tz.win
import time:      3183 |      10885 |                                       dateutil.tz.tz
import time:      1966 |      12850 |                                     dateutil.tz
import time:      2271 |      20904 |                                   dateutil.parser._parser
import time:      2555 |       2555 |                                   dateutil.parser.isoparser
import time:      2074 |      29118 |                                 dateutil.parser
import time:      2721 |       2721 |                                           mashumaro.core
import time:      2470 |       5190 |                                         mashumaro.core.meta
import time:      2459 |       2459 |                                         mashumaro.core.const
import time:      4699 |       4699 |                                           mashumaro.types
import time:      2325 |       7023 |                                         mashumaro.dialect
import time:      3005 |      17676 |                                       mashumaro.core.meta.helpers
import time:      4106 |      21782 |                                     mashumaro.exceptions
import time:      3180 |       3180 |                                     mashumaro.helper
import time:      2514 |       2514 |                                       mashumaro.mixins
import time:      2164 |       2164 |                                           mashumaro.core.meta.code
import time:      2442 |       2442 |                                           mashumaro.config
import time:      2229 |       2229 |                                           mashumaro.core.helpers
import time:      2293 |       2293 |                                           mashumaro.core.meta.code.lines
import time:      2435 |       2435 |                                             mashumaro.core.meta.types
import time:      6516 |       8950 |                                           mashumaro.core.meta.types.common
import time:      2719 |       2719 |                                                 sysconfig
import time:      2475 |       5193 |                                               zoneinfo._tzpath
import time:      1391 |       1391 |                                               zoneinfo._common
import time:      1405 |       1405 |                                               _zoneinfo
import time:      2382 |      10370 |                                             zoneinfo
import time:      2459 |      12829 |                                           mashumaro.core.meta.types.pack
import time:       588 |        588 |                                             ciso8601
import time:       504 |        504 |                                             pendulum
import time:      1517 |       2609 |                                           mashumaro.core.meta.types.unpack
import time:      3664 |      37178 |                                         mashumaro.core.meta.code.builder
import time:      2201 |      39378 |                                       mashumaro.core.meta.mixin
import time:      2797 |      44689 |                                     mashumaro.mixins.dict
import time:      3070 |      72718 |                                   mashumaro
import time:        45 |      72763 |                                 mashumaro.config
import time:      7201 |       7201 |                                     mashumaro.jsonschema.dialects
import time:       596 |        596 |                                         orjson
import time:      1737 |       2332 |                                       mashumaro.mixins.orjson
import time:      1678 |       1678 |                                       mashumaro.mixins.json
import time:     37854 |      41863 |                                     mashumaro.jsonschema.models
import time:      5594 |       5594 |                                       mashumaro.jsonschema.annotations
import time:       573 |        573 |                                         orjson
import time:       841 |       1414 |                                       mashumaro.mixins.orjson
import time:     18097 |      25104 |                                     mashumaro.jsonschema.schema
import time:       567 |        567 |                                       orjson
import time:      1578 |       2144 |                                     mashumaro.mixins.orjson
import time:      5071 |      81381 |                                   mashumaro.jsonschema.builder
import time:      1716 |      83097 |                                 mashumaro.jsonschema
import time:      1155 |       1155 |                                     msgpack.exceptions
import time:      1062 |       1062 |                                     msgpack.ext
import time:      1396 |       1396 |                                     msgpack._cmsgpack
import time:      1365 |       4976 |                                   msgpack
import time:      1397 |       6373 |                                 mashumaro.mixins.msgpack
import time:      2859 |     354320 |                               dbt_common.dataclass_schema
import time:      1311 |     356451 |                             dbt_common.exceptions.base
import time:       946 |        946 |                             dbt_common.exceptions.events
import time:       937 |        937 |                             dbt_common.exceptions.macros
import time:       858 |        858 |                             dbt_common.exceptions.contracts
import time:      1573 |       1573 |                             dbt_common.exceptions.connection
import time:      1595 |       1595 |                             dbt_common.exceptions.system
import time:      1225 |       1225 |                             dbt_common.exceptions.jinja
import time:      1096 |     364678 |                           dbt_common.exceptions
import time:      1014 |     365692 |                         dbt_common.utils.dict
import time:       973 |        973 |                             concurrent
import time:      1560 |       1560 |                             concurrent.futures._base
import time:      1264 |       3797 |                           concurrent.futures
import time:        47 |         47 |                               _contextvars
import time:       962 |       1008 |                             contextvars
import time:      1963 |       1963 |                             dbt_common.record
import time:       980 |       3950 |                           dbt_common.context
import time:      1036 |       1036 |                           concurrent.futures.thread
import time:      1010 |       9791 |                         dbt_common.utils.executor
import time:       872 |        872 |                         dbt_common.utils.jinja
import time:      1005 |     428326 |                       dbt_common.utils
import time:        26 |     428352 |                     dbt_common.utils.encoding
import time:      2010 |     465140 |                   dbt_common.events.logger
import time:      6776 |       6776 |                   dbt_common.helper_types
import time:      1231 |     474684 |                 dbt_common.events.event_manager
import time:      1066 |     475749 |               dbt_common.events.event_manager_client
import time:      1036 |       1036 |                 dbt_common.events.types
import time:      1246 |       2281 |               dbt_common.events.functions
import time:      1629 |     553967 |             dbt_common.events
import time:        41 |     554008 |           dbt_common.events.functions
import time:      1270 |       1270 |             dbt.adapters.events
import time:      1582 |       1582 |                   google.protobuf.struct_pb2
import time:      2288 |       3869 |                 dbtlabs.proto.public.v1.fields.adapter_types_pb2
import time:      1503 |       5372 |               dbt.adapters.events.adapter_types_pb2
import time:      1367 |       6738 |             dbt.adapters.events.base_types
import time:      1800 |       9808 |           dbt.adapters.events.types
import time:      1628 |     565443 |         dbt.adapters.base.meta
import time:      1668 |       1668 |         dbt.adapters.base.column
import time:      1212 |       1212 |                   signal
import time:      1235 |       2447 |                 multiprocessing.process
import time:      1052 |       1052 |                 multiprocessing.reduction
import time:      1388 |       4886 |               multiprocessing.context
import time:      1175 |       6060 |             multiprocessing
import time:        30 |       6089 |           multiprocessing.context
import time:      1463 |       1463 |             _multiprocessing
import time:      1016 |       1016 |                 fcntl
import time:      2318 |       3333 |               subprocess
import time:      1110 |       4443 |             multiprocessing.util
import time:      1044 |       6949 |           multiprocessing.synchronize
import time:      1941 |       1941 |           dbt_common.events.contextvars
import time:      1200 |       1200 |               dbt.adapters.clients
import time:      1100 |       1100 |                 dbt_common.clients
import time:      1945 |       1945 |                 jinja2.ext
import time:      1123 |       1123 |                 jinja2.nativetypes
import time:      1173 |       1173 |                 jinja2.sandbox
import time:       775 |        775 |                 dbt_common.tests
import time:      2803 |       2803 |                 dbt_common.clients._jinja_blocks
import time:      2360 |      11277 |               dbt_common.clients.jinja
import time:      1600 |      14075 |             dbt.adapters.clients.jinja
import time:      1020 |       1020 |               dbt.adapters.contracts
import time:       974 |        974 |                 dbt_common.contracts
import time:      1113 |       2087 |               dbt_common.contracts.util
import time:      1071 |       1071 |                   dbt.adapters.exceptions.alias
import time:       934 |        934 |                   dbt.adapters.exceptions.cache
import time:      1758 |       1758 |                   dbt.adapters.exceptions.compilation
import time:      1013 |       1013 |                   dbt.adapters.exceptions.connection
import time:       907 |        907 |                   dbt.adapters.exceptions.database
import time:       986 |       6666 |                 dbt.adapters.exceptions
import time:       917 |       7583 |               dbt.adapters.utils
import time:      7354 |      18043 |             dbt.adapters.contracts.connection
import time:      1329 |      33446 |           dbt.adapters.base.query_headers
import time:       889 |        889 |             dbt_common.events.event_handler
import time:      1374 |       2262 |           dbt.adapters.events.logging
import time:      1311 |      51998 |         dbt.adapters.base.connections
import time:      1076 |       1076 |             pytz.exceptions
import time:      1241 |       1241 |             pytz.lazy
import time:      1165 |       1165 |             pytz.tzinfo
import time:       936 |        936 |             pytz.tzfile
import time:      1918 |       6334 |           pytz
import time:       658 |        658 |                   dbt.adapters.record.cursor
import time:      4008 |       4008 |                   dbt.adapters.record.cursor.description
import time:      4074 |       4074 |                     dbt.adapters.record.cursor.fetchall
import time:      3693 |       7767 |                   dbt.adapters.record.cursor.execute
import time:      4173 |       4173 |                   dbt.adapters.record.cursor.fetchone
import time:      1941 |       1941 |                   dbt.adapters.record.cursor.fetchmany
